CustomerID,Lookalikes
C0001,"[('C0184', 0.7237), ('C0152', 0.6988), ('C0011', 0.6772)]"
C0002,"[('C0029', 0.8676), ('C0106', 0.7838), ('C0134', 0.7548)]"
C0003,"[('C0151', 0.7868), ('C0144', 0.7386), ('C0110', 0.7092)]"
C0004,"[('C0165', 0.8966), ('C0075', 0.8906), ('C0113', 0.8133)]"
C0005,"[('C0007', 0.8473), ('C0159', 0.7401), ('C0186', 0.7241)]"
C0006,"[('C0168', 0.8885), ('C0171', 0.8257), ('C0185', 0.8077)]"
C0007,"[('C0005', 0.8473), ('C0140', 0.7532), ('C0074', 0.7252)]"
C0008,"[('C0084', 0.792), ('C0098', 0.7771), ('C0156', 0.7383)]"
C0009,"[('C0103', 0.8441), ('C0128', 0.8243), ('C0058', 0.8022)]"
C0010,"[('C0062', 0.789), ('C0111', 0.7633), ('C0029', 0.7535)]"
C0011,"[('C0171', 0.7902), ('C0174', 0.7645), ('C0155', 0.7289)]"
C0012,"[('C0065', 0.8238), ('C0124', 0.7909), ('C0013', 0.7863)]"
C0013,"[('C0099', 0.8512), ('C0054', 0.7947), ('C0087', 0.7918)]"
C0014,"[('C0097', 0.935), ('C0033', 0.9339), ('C0060', 0.9083)]"
C0015,"[('C0058', 0.7452), ('C0042', 0.7367), ('C0128', 0.7272)]"
C0016,"[('C0042', 0.8121), ('C0078', 0.706), ('C0067', 0.6939)]"
C0017,"[('C0075', 0.9212), ('C0004', 0.782), ('C0041', 0.7452)]"
C0018,"[('C0117', 0.7981), ('C0182', 0.7534), ('C0114', 0.7512)]"
C0019,"[('C0147', 0.7868), ('C0161', 0.7295), ('C0119', 0.719)]"
C0020,"[('C0080', 0.8887), ('C0110', 0.8358), ('C0130', 0.7867)]"
